Pos,Div1,Div2,Div3
11919866,20835.504776,20835.504776,21444.150014
11969950,32610.519603,32610.519603,33795.292498
12020033,34705.717838,34705.717838,35206.546275
12070117,33782.234727,33782.234727,37016.742113
12120200,42738.754253,42738.754253,48951.469676
12170284,19760.434417,19760.434417,18694.012552
12220367,23130.379460,23130.379460,20660.337813
12270451,24172.475417,24172.475417,22073.069666
12320534,24488.894441,24488.894441,23271.174946
12370618,25340.393245,25340.393245,24464.632754
12420701,25014.183302,25014.183302,24361.148074
12470785,22622.347031,22622.347031,22422.789593
12520868,22368.099342,22368.099342,21357.211719
12570952,33266.965929,33266.965929,36154.146032
12621035,30492.859893,30492.859893,29707.086170
12671118,26238.569537,26238.569537,28601.454330
12721202,30847.567579,30847.567579,28160.192430
12771285,32845.962662,32845.962662,29152.448208
12821369,27923.134267,27923.134267,24049.775826
12871452,31463.198221,31463.198221,30408.678170
12921536,30643.180236,30643.180236,32256.680480
12971619,30649.235045,30649.235045,33737.901515
13021703,27250.182582,27250.182582,33655.918612
13071786,30832.270045,30832.270045,36803.275506
13121870,27958.010679,27958.010679,26806.474846
13171953,33000.437392,33000.437392,35966.769967
13222037,33504.949084,33504.949084,35744.211608
13272120,31918.066222,31918.066222,31782.956699
13322204,25804.937351,25804.937351,26031.097064
13372287,25886.958316,25886.958316,24436.463853
13422371,42146.297379,42146.297379,43227.079737
13472454,34849.097390,34849.097390,37138.609812
13522538,30691.464679,30691.464679,31515.334362
13572621,30161.088021,30161.088021,30581.501450
13622704,37775.640764,37775.640764,40386.089864
13672788,33470.669256,33470.669256,38374.988958
13722871,33024.584045,33024.584045,35217.790975
13772955,35205.435151,35205.435151,35039.774943
13823038,23959.605169,23959.605169,26233.190407
13873122,26991.355734,26991.355734,31927.203559
13923205,27481.952871,27481.952871,27982.675185
13973289,35077.346652,35077.346652,41171.743976
14023372,51327.384762,51327.384762,72412.761185
14073456,40921.728691,40921.728691,53994.490919
14123539,34971.954727,34971.954727,44865.010424
14173623,21349.726987,21349.726987,18914.866650
14223706,20418.749429,20418.749429,22231.700991
14273790,22741.746398,22741.746398,25128.387552
14323873,33124.502062,33124.502062,36635.060218
14373957,27129.575921,27129.575921,30447.526175
14424040,19686.059021,19686.059021,22124.614467
14474124,21835.801784,21835.801784,24953.260265
14524207,31230.229397,31230.229397,36222.709155
14574290,24932.661082,24932.661082,26758.586081
14624374,20978.692403,20978.692403,22642.599679
14674457,21319.723185,21319.723185,18300.368762
14724541,23327.657559,23327.657559,18510.491322
14774624,30791.324324,30791.324324,22033.710937
14824708,31278.418838,31278.418838,28924.369081
14874791,32842.417472,32842.417472,32771.577946
14924875,25743.241012,25743.241012,27910.143420
14974958,37869.056518,37869.056518,38044.449512
15025042,47558.511091,47558.511091,45636.178058
15075125,35044.361230,35044.361230,34862.596479
15125209,44084.544243,44084.544243,43971.990049
15175292,32147.040595,32147.040595,32545.251214
15225376,37125.693036,37125.693036,40289.712425
15275459,35357.726400,35357.726400,34826.756385
15325543,42166.203211,42166.203211,44856.008135
15375626,39808.332158,39808.332158,39964.780224
15425710,39072.977985,39072.977985,42875.798576
15475793,40709.144918,40709.144918,39676.476926
15525876,50293.647770,50293.647770,51920.525339
15575960,44493.840339,44493.840339,43197.424243
15626043,26084.924813,26084.924813,28135.974257
15676127,31065.825720,31065.825720,34617.183970
15726210,46773.847142,46773.847142,47041.951269
15776294,64792.927912,64792.927912,66209.165233
15826377,48847.998959,48847.998959,52715.397736
15876461,37384.596226,37384.596226,23025.314499
15926544,40388.742687,40388.742687,42424.190488
15976628,33042.880429,33042.880429,32754.412252
16026711,39296.198203,39296.198203,42617.356586
16076795,28231.898774,28231.898774,31216.293866
16126878,28927.622153,28927.622153,31603.024051
16176962,29290.953562,29290.953562,29333.335596
16227045,39220.268529,39220.268529,39439.260198
16277129,32596.379218,32596.379218,31169.403280
16327212,37076.197763,37076.197763,36230.252601
16377296,53927.375354,53927.375354,51484.056308
16427379,48514.705082,48514.705082,48679.227371
16477462,49521.964945,49521.964945,53892.268936
16527546,42124.273356,42124.273356,44623.342300
16577629,40877.330920,40877.330920,33252.175496
16627713,35727.853610,35727.853610,34463.521676
16677796,43506.134455,43506.134455,44831.577629
16727880,37893.744443,37893.744443,42860.862407
16777963,47101.522032,47101.522032,46398.052207
16828047,37002.829921,37002.829921,37926.089600
16878130,53317.166534,53317.166534,52283.125621
16928214,29803.368094,29803.368094,30191.178079
16978297,36824.395562,36824.395562,37865.269839
17028381,31873.806952,31873.806952,42435.645121
17078464,26160.709319,26160.709319,25872.504840
17128548,42815.492459,42815.492459,43401.117578
17178631,23863.640730,23863.640730,27660.646570
17228715,31828.578148,31828.578148,29124.271791
17278798,23755.019032,23755.019032,24758.463428
17328882,36702.381308,36702.381308,38159.772895
17378965,35243.384518,35243.384518,31752.377279
17429048,28902.246149,28902.246149,31770.637126
17479132,39443.991087,39443.991087,41414.565228
17529215,49078.726176,49078.726176,49525.068071
17579299,34631.176265,34631.176265,32278.443181
17629382,43376.294050,43376.294050,40060.576416
17679466,37787.276818,37787.276818,37609.210984
17729549,42380.294921,42380.294921,41870.981035
17779633,40118.516188,40118.516188,43083.266618
17829716,43380.001015,43380.001015,44778.919209
17879800,46801.238518,46801.238518,50914.053565
17929883,36562.174085,36562.174085,40877.319553
17979967,29022.692020,29022.692020,26814.751608
18030050,33980.116002,33980.116002,33774.248207
18080134,43666.448132,43666.448132,32280.747739
18130217,46376.557532,46376.557532,44659.714703
18180301,40059.231018,40059.231018,34100.497926
18230384,47370.714629,47370.714629,43934.991568
18280468,33464.184606,33464.184606,34080.631512
18330551,37150.244249,37150.244249,36885.519502
18380635,37480.231967,37480.231967,41219.143099
18430718,24973.282215,24973.282215,26023.945635
18480801,32863.837486,32863.837486,33356.220451
18530885,32219.083172,32219.083172,34646.689186
18580968,42636.678742,42636.678742,45595.836526
18631052,50200.713508,50200.713508,45766.878335
18681135,37474.292925,37474.292925,41056.987557
18731219,34968.732829,34968.732829,36448.699232
18781302,33922.690725,33922.690725,38914.950083
18831386,57884.879749,57884.879749,63953.411233
18881469,40737.589344,40737.589344,44943.632788
18931553,32033.496739,32033.496739,25372.902982
18981636,41734.928838,41734.928838,41129.227395
19031720,27148.842366,27148.842366,26251.660406
19081803,28557.052360,28557.052360,26150.477030
19131887,38651.274900,38651.274900,33377.622296
19181970,42907.246099,42907.246099,46306.079839
19232054,35506.365442,35506.365442,39070.022218
19282137,34209.304824,34209.304824,32761.853632
19332221,44058.160817,44058.160817,36978.831917
19382304,38118.063637,38118.063637,38840.129132
19432387,41473.006372,41473.006372,40669.655678
19482471,47664.927056,47664.927056,48003.524660
19532554,48898.599415,48898.599415,49915.343603
19582638,42282.421300,42282.421300,45390.408153
19632721,38365.656777,38365.656777,43380.778389
19682805,32510.391396,32510.391396,37057.204758
19732888,34542.177120,34542.177120,34696.531633
19782972,31250.174314,31250.174314,33508.406632
19833055,37213.843503,37213.843503,35542.589608
19883139,36662.112495,36662.112495,37358.387035
19933222,33721.569212,33721.569212,28299.511268
19983306,31321.857140,31321.857140,40834.085038
20033389,25730.442745,25730.442745,40637.670110
20083473,15724.652341,15724.652341,20476.885566
20133556,17595.800691,17595.800691,22039.932141
20183640,24192.068608,24192.068608,28892.444862
20233723,17966.571815,17966.571815,26604.490063
20283807,19531.018579,19531.018579,24921.443855
20333890,24965.552221,24965.552221,20596.035621
20383973,19448.195502,19448.195502,18629.397961
20434057,17728.345917,17728.345917,12277.597567
20484140,18525.367257,18525.367257,11535.911111
20534224,16718.628706,16718.628706,12128.094161
20584307,15904.643860,15904.643860,12945.308402
20634391,14901.317947,14901.317947,12565.149171
20684474,13162.100795,13162.100795,12140.000000
20734558,21778.473574,21778.473574,13063.736995
20784641,23438.124712,23438.124712,15117.767443
20834725,16816.845140,16816.845140,19832.559978
20884808,28209.686890,28209.686890,33494.042549
20934892,25426.359102,25426.359102,41707.231935
20984975,26878.740195,26878.740195,42554.436846
21035059,32865.166616,32865.166616,58543.414313
21085142,26575.446248,26575.446248,46599.795181
21135226,30710.271573,30710.271573,11430.872614
21185309,22406.602950,22406.602950,8357.022222
21235393,17408.582912,17408.582912,9034.061112
21285476,11292.209570,11292.209570,9994.509582
21335559,16361.648478,16361.648478,13082.202391
21385643,14348.491554,14348.491554,12678.830065
21435726,14434.410895,14434.410895,13791.229528
21485810,13658.762828,13658.762828,13826.921389
21535893,13042.023053,13042.023053,14391.728092
21585977,12862.632578,12862.632578,14894.420239
21636060,27347.201962,27347.201962,30952.546362
21686144,59767.426192,59767.426192,68020.486722
21736227,85472.569600,85472.569600,96705.792105
21786311,27270.932158,27270.932158,29986.460955
21836394,56822.430227,56822.430227,63282.815556
